source_file,tenor_years,pixel_x,observed,tp,risk_neutral
inputs/tp_2y.png,2,58,14.758064516129032,2.258064516129032,12.5
inputs/tp_2y.png,2,59,14.31451612903226,2.4193548387096775,11.895161290322582
inputs/tp_2y.png,2,60,13.870967741935484,2.5806451612903225,11.290322580645162
inputs/tp_2y.png,2,61,13.588709677419356,2.741935483870968,10.846774193548388
inputs/tp_2y.png,2,62,13.46774193548387,2.903225806451613,10.564516129032256
inputs/tp_2y.png,2,63,13.346774193548386,2.741935483870968,10.604838709677418
inputs/tp_2y.png,2,64,13.185483870967744,2.5806451612903225,10.604838709677422
inputs/tp_2y.png,2,65,12.862903225806452,2.4193548387096775,10.443548387096774
inputs/tp_2y.png,2,66,12.5,2.338709677419355,10.161290322580644
inputs/tp_2y.png,2,67,12.137096774193548,2.5806451612903225,9.556451612903226
inputs/tp_2y.png,2,68,11.774193548387096,2.741935483870968,9.032258064516128
inputs/tp_2y.png,2,69,11.491935483870968,2.9838709677419355,8.508064516129032
inputs/tp_2y.png,2,70,11.29032258064516,3.225806451612903,8.064516129032256
inputs/tp_2y.png,2,71,11.088709677419354,3.306451612903226,7.782258064516128
inputs/tp_2y.png,2,72,10.846774193548388,3.387096774193549,7.459677419354839
inputs/tp_2y.png,2,73,10.685483870967742,3.387096774193549,7.298387096774193
inputs/tp_2y.png,2,74,10.685483870967742,3.387096774193549,7.298387096774193
inputs/tp_2y.png,2,75,10.685483870967742,3.064516129032258,7.620967741935484
inputs/tp_2y.png,2,76,10.766129032258064,2.741935483870968,8.024193548387096
inputs/tp_2y.png,2,77,10.846774193548388,2.4193548387096775,8.42741935483871
inputs/tp_2y.png,2,78,10.887096774193548,2.1774193548387095,8.709677419354838
inputs/tp_2y.png,2,79,10.92741935483871,2.0161290322580645,8.911290322580646
inputs/tp_2y.png,2,80,10.846774193548388,1.8548387096774193,8.991935483870968
inputs/tp_2y.png,2,81,10.846774193548388,1.6935483870967745,9.153225806451614
inputs/tp_2y.png,2,82,10.766129032258064,1.532258064516129,9.233870967741936
inputs/tp_2y.png,2,83,10.806451612903226,1.4516129032258065,9.35483870967742
inputs/tp_2y.png,2,84,10.846774193548388,1.4516129032258065,9.395161290322582
inputs/tp_2y.png,2,85,11.008064516129032,1.370967741935484,9.637096774193548
inputs/tp_2y.png,2,86,11.088709677419354,1.2903225806451613,9.798387096774192
inputs/tp_2y.png,2,87,11.25,1.370967741935484,9.879032258064516
inputs/tp_2y.png,2,88,11.330645161290324,1.4516129032258065,9.879032258064518
inputs/tp_2y.png,2,89,11.411290322580646,1.6129032258064515,9.798387096774194
inputs/tp_2y.png,2,90,11.330645161290324,1.6935483870967745,9.63709677419355
inputs/tp_2y.png,2,91,11.088709677419354,1.7741935483870968,9.314516129032258
inputs/tp_2y.png,2,92,10.846774193548388,1.8548387096774193,8.991935483870968
inputs/tp_2y.png,2,93,10.60483870967742,1.935483870967742,8.669354838709678
inputs/tp_2y.png,2,94,10.524193548387096,2.0161290322580645,8.508064516129032
inputs/tp_2y.png,2,95,10.443548387096774,2.0161290322580645,8.42741935483871
inputs/tp_2y.png,2,96,10.36290322580645,2.1774193548387095,8.18548387096774
inputs/tp_2y.png,2,97,10.36290322580645,2.258064516129032,8.104838709677418
inputs/tp_2y.png,2,98,10.28225806451613,2.338709677419355,7.943548387096775
inputs/tp_2y.png,2,99,10.28225806451613,2.4193548387096775,7.862903225806452
inputs/tp_2y.png,2,100,10.32258064516129,2.338709677419355,7.983870967741935
inputs/tp_2y.png,2,101,10.36290322580645,2.338709677419355,8.024193548387096
inputs/tp_2y.png,2,102,10.443548387096774,2.338709677419355,8.10483870967742
inputs/tp_2y.png,2,103,10.443548387096774,2.258064516129032,8.185483870967742
inputs/tp_2y.png,2,104,10.483870967741936,2.0967741935483875,8.387096774193548
inputs/tp_2y.png,2,105,10.483870967741936,2.0161290322580645,8.467741935483872
inputs/tp_2y.png,2,106,10.483870967741936,1.8548387096774193,8.629032258064516
inputs/tp_2y.png,2,107,10.443548387096774,1.7741935483870968,8.669354838709678
inputs/tp_2y.png,2,108,10.36290322580645,1.8548387096774193,8.50806451612903
inputs/tp_2y.png,2,109,10.28225806451613,1.935483870967742,8.346774193548388
inputs/tp_2y.png,2,110,10.120967741935484,2.0161290322580645,8.10483870967742
inputs/tp_2y.png,2,111,9.959677419354838,2.0967741935483875,7.86290322580645
inputs/tp_2y.png,2,112,9.758064516129032,2.0161290322580645,7.741935483870968
inputs/tp_2y.png,2,113,9.596774193548386,1.935483870967742,7.661290322580644
inputs/tp_2y.png,2,114,9.475806451612904,1.8548387096774193,7.620967741935485
inputs/tp_2y.png,2,115,9.475806451612904,1.7741935483870968,7.701612903225807
inputs/tp_2y.png,2,116,9.475806451612904,1.7741935483870968,7.701612903225807
inputs/tp_2y.png,2,117,9.475806451612904,1.7741935483870968,7.701612903225807
inputs/tp_2y.png,2,118,9.475806451612904,1.6935483870967745,7.78225806451613
inputs/tp_2y.png,2,119,9.516129032258064,1.6935483870967745,7.82258064516129
inputs/tp_2y.png,2,120,9.516129032258064,1.6935483870967745,7.82258064516129
inputs/tp_2y.png,2,121,9.475806451612904,1.6935483870967745,7.78225806451613
inputs/tp_2y.png,2,122,9.475806451612904,1.6935483870967745,7.78225806451613
inputs/tp_2y.png,2,123,9.475806451612904,1.6935483870967745,7.78225806451613
inputs/tp_2y.png,2,124,9.435483870967742,1.6935483870967745,7.741935483870968
inputs/tp_2y.png,2,125,9.435483870967742,1.7741935483870968,7.661290322580645
inputs/tp_2y.png,2,126,9.435483870967742,1.7741935483870968,7.661290322580645
inputs/tp_2y.png,2,127,9.435483870967742,1.8548387096774193,7.580645161290323
inputs/tp_2y.png,2,128,9.39516129032258,1.7741935483870968,7.620967741935483
inputs/tp_2y.png,2,129,9.39516129032258,1.6129032258064515,7.782258064516128
inputs/tp_2y.png,2,130,9.314516129032258,1.532258064516129,7.782258064516129
inputs/tp_2y.png,2,131,9.314516129032258,1.370967741935484,7.943548387096774
inputs/tp_2y.png,2,132,9.233870967741936,1.370967741935484,7.862903225806452
inputs/tp_2y.png,2,133,9.233870967741936,1.4516129032258065,7.78225806451613
inputs/tp_2y.png,2,134,9.153225806451614,1.4516129032258065,7.701612903225808
inputs/tp_2y.png,2,135,9.07258064516129,1.532258064516129,7.540322580645161
inputs/tp_2y.png,2,136,8.991935483870968,1.6129032258064515,7.379032258064516
inputs/tp_2y.png,2,137,8.911290322580644,1.6935483870967745,7.21774193548387
inputs/tp_2y.png,2,138,8.790322580645162,1.7741935483870968,7.016129032258065
inputs/tp_2y.png,2,139,8.75,1.8548387096774193,6.895161290322581
inputs/tp_2y.png,2,140,8.75,1.935483870967742,6.814516129032258
inputs/tp_2y.png,2,141,8.709677419354838,1.935483870967742,6.774193548387096
inputs/tp_2y.png,2,142,8.709677419354838,1.8548387096774193,6.854838709677419
inputs/tp_2y.png,2,143,8.709677419354838,1.8548387096774193,6.854838709677419
inputs/tp_2y.png,2,144,8.75,1.8548387096774193,6.895161290322581
inputs/tp_2y.png,2,145,8.75,1.7741935483870968,6.975806451612903
inputs/tp_2y.png,2,146,8.75,1.7741935483870968,6.975806451612903
inputs/tp_2y.png,2,147,8.75,1.6935483870967745,7.056451612903226
inputs/tp_2y.png,2,148,8.75,1.6129032258064515,7.137096774193548
inputs/tp_2y.png,2,149,8.709677419354838,1.6935483870967745,7.016129032258064
inputs/tp_2y.png,2,150,8.669354838709678,1.7741935483870968,6.895161290322581
inputs/tp_2y.png,2,151,8.588709677419356,1.8548387096774193,6.733870967741937
inputs/tp_2y.png,2,152,8.508064516129032,1.8548387096774193,6.653225806451613
inputs/tp_2y.png,2,153,8.42741935483871,2.0161290322580645,6.411290322580646
inputs/tp_2y.png,2,154,8.346774193548386,2.0967741935483875,6.249999999999998
inputs/tp_2y.png,2,155,8.266129032258064,2.258064516129032,6.008064516129032
inputs/tp_2y.png,2,156,8.266129032258064,2.338709677419355,5.927419354838709
inputs/tp_2y.png,2,157,8.266129032258064,2.258064516129032,6.008064516129032
inputs/tp_2y.png,2,158,8.346774193548386,2.1774193548387095,6.169354838709676
inputs/tp_2y.png,2,159,8.346774193548386,2.0967741935483875,6.249999999999998
inputs/tp_2y.png,2,160,8.42741935483871,2.0161290322580645,6.411290322580646
inputs/tp_2y.png,2,161,8.46774193548387,2.0161290322580645,6.451612903225806
inputs/tp_2y.png,2,162,8.46774193548387,1.935483870967742,6.532258064516128
inputs/tp_2y.png,2,163,8.508064516129032,1.8548387096774193,6.653225806451613
inputs/tp_2y.png,2,164,8.508064516129032,1.7741935483870968,6.733870967741935
inputs/tp_2y.png,2,165,8.508064516129032,1.7741935483870968,6.733870967741935
inputs/tp_2y.png,2,166,8.42741935483871,1.7741935483870968,6.653225806451613
inputs/tp_2y.png,2,167,8.42741935483871,1.6935483870967745,6.733870967741936
inputs/tp_2y.png,2,168,8.346774193548386,1.6935483870967745,6.653225806451612
inputs/tp_2y.png,2,169,8.346774193548386,1.6935483870967745,6.653225806451612
inputs/tp_2y.png,2,170,8.306451612903226,1.6129032258064515,6.693548387096774
inputs/tp_2y.png,2,171,8.266129032258064,1.6129032258064515,6.653225806451612
inputs/tp_2y.png,2,172,8.225806451612904,1.532258064516129,6.693548387096775
inputs/tp_2y.png,2,173,8.185483870967742,1.532258064516129,6.653225806451613
inputs/tp_2y.png,2,174,8.10483870967742,1.4516129032258065,6.653225806451614
inputs/tp_2y.png,2,175,8.10483870967742,1.4516129032258065,6.653225806451614
inputs/tp_2y.png,2,176,8.064516129032258,1.4516129032258065,6.612903225806452
inputs/tp_2y.png,2,177,8.024193548387098,1.370967741935484,6.653225806451614
inputs/tp_2y.png,2,178,8.064516129032258,1.2903225806451613,6.774193548387097
inputs/tp_2y.png,2,179,8.10483870967742,1.2903225806451613,6.814516129032259
inputs/tp_2y.png,2,180,8.10483870967742,1.2096774193548387,6.895161290322581
inputs/tp_2y.png,2,181,8.10483870967742,1.2096774193548387,6.895161290322581
inputs/tp_2y.png,2,182,8.024193548387098,1.129032258064516,6.895161290322582
inputs/tp_2y.png,2,183,8.024193548387098,1.129032258064516,6.895161290322582
inputs/tp_2y.png,2,184,7.943548387096774,1.129032258064516,6.814516129032258
inputs/tp_2y.png,2,185,7.862903225806452,1.129032258064516,6.733870967741936
inputs/tp_2y.png,2,186,7.822580645161291,1.129032258064516,6.693548387096775
inputs/tp_2y.png,2,187,7.782258064516129,1.129032258064516,6.653225806451613
inputs/tp_2y.png,2,188,7.701612903225806,1.129032258064516,6.57258064516129
inputs/tp_2y.png,2,189,7.661290322580645,1.129032258064516,6.532258064516129
inputs/tp_2y.png,2,190,7.620967741935483,1.129032258064516,6.491935483870967
inputs/tp_2y.png,2,191,7.540322580645162,1.0483870967741937,6.491935483870968
inputs/tp_2y.png,2,192,7.540322580645162,1.0483870967741937,6.491935483870968
inputs/tp_2y.png,2,193,7.5,1.0483870967741937,6.451612903225806
inputs/tp_2y.png,2,194,7.459677419354839,0.967741935483871,6.491935483870968
inputs/tp_2y.png,2,195,7.459677419354839,0.8870967741935484,6.572580645161291
inputs/tp_2y.png,2,196,7.459677419354839,0.8870967741935484,6.572580645161291
inputs/tp_2y.png,2,197,7.379032258064516,0.8064516129032258,6.57258064516129
inputs/tp_2y.png,2,198,7.298387096774193,0.8870967741935484,6.411290322580645
inputs/tp_2y.png,2,199,7.217741935483871,0.967741935483871,6.25
inputs/tp_2y.png,2,200,7.137096774193548,1.0483870967741937,6.088709677419354
inputs/tp_2y.png,2,201,7.096774193548387,1.129032258064516,5.967741935483871
inputs/tp_2y.png,2,202,7.056451612903227,1.0483870967741937,6.008064516129033
inputs/tp_2y.png,2,203,6.975806451612904,0.967741935483871,6.008064516129033
inputs/tp_2y.png,2,204,6.895161290322581,0.8870967741935484,6.008064516129033
inputs/tp_2y.png,2,205,6.814516129032258,0.8064516129032258,6.008064516129032
inputs/tp_2y.png,2,206,6.814516129032258,0.8064516129032258,6.008064516129032
inputs/tp_2y.png,2,207,6.733870967741935,0.8064516129032258,5.927419354838709
inputs/tp_2y.png,2,208,6.693548387096775,0.8064516129032258,5.887096774193549
inputs/tp_2y.png,2,209,6.653225806451612,0.8064516129032258,5.846774193548386
inputs/tp_2y.png,2,210,6.57258064516129,0.8064516129032258,5.766129032258064
inputs/tp_2y.png,2,211,6.532258064516129,0.8870967741935484,5.645161290322581
inputs/tp_2y.png,2,212,6.491935483870968,0.967741935483871,5.524193548387097
inputs/tp_2y.png,2,213,6.411290322580646,1.0483870967741937,5.362903225806452
inputs/tp_2y.png,2,214,6.411290322580646,1.0483870967741937,5.362903225806452
inputs/tp_2y.png,2,215,6.491935483870968,0.8870967741935484,5.60483870967742
inputs/tp_2y.png,2,216,6.57258064516129,0.8064516129032258,5.766129032258064
inputs/tp_2y.png,2,217,6.653225806451612,0.6451612903225806,6.008064516129031
inputs/tp_2y.png,2,218,6.733870967741935,0.6451612903225806,6.088709677419354
inputs/tp_2y.png,2,219,6.733870967741935,0.564516129032258,6.169354838709677
inputs/tp_2y.png,2,220,6.774193548387098,0.564516129032258,6.20967741935484
inputs/tp_2y.png,2,221,6.814516129032258,0.4838709677419355,6.330645161290322
inputs/tp_2y.png,2,222,6.814516129032258,0.4032258064516129,6.411290322580645
inputs/tp_2y.png,2,223,6.895161290322581,0.4032258064516129,6.491935483870968
inputs/tp_2y.png,2,224,6.895161290322581,0.3225806451612903,6.572580645161291
inputs/tp_2y.png,2,225,6.975806451612904,0.24193548387096775,6.733870967741936
inputs/tp_2y.png,2,226,7.056451612903227,0.24193548387096775,6.814516129032259
inputs/tp_2y.png,2,227,7.056451612903227,0.24193548387096775,6.814516129032259
inputs/tp_2y.png,2,228,7.137096774193548,0.3225806451612903,6.814516129032258
inputs/tp_2y.png,2,229,7.137096774193548,0.3225806451612903,6.814516129032258
inputs/tp_2y.png,2,230,7.137096774193548,0.3225806451612903,6.814516129032258
inputs/tp_2y.png,2,231,7.217741935483871,0.4838709677419355,6.733870967741936
inputs/tp_2y.png,2,232,7.379032258064516,0.564516129032258,6.814516129032258
inputs/tp_2y.png,2,233,7.5,0.7258064516129032,6.774193548387097
inputs/tp_2y.png,2,234,7.661290322580645,0.8064516129032258,6.854838709677419
inputs/tp_2y.png,2,235,7.782258064516129,0.8870967741935484,6.895161290322581
inputs/tp_2y.png,2,236,7.862903225806452,0.967741935483871,6.895161290322581
inputs/tp_2y.png,2,237,7.943548387096774,1.0483870967741937,6.89516129032258
inputs/tp_2y.png,2,238,7.983870967741935,1.129032258064516,6.854838709677419
inputs/tp_2y.png,2,239,7.983870967741935,1.0483870967741937,6.935483870967741
inputs/tp_2y.png,2,240,7.983870967741935,0.967741935483871,7.016129032258064
inputs/tp_2y.png,2,241,7.983870967741935,0.967741935483871,7.016129032258064
inputs/tp_2y.png,2,242,7.983870967741935,0.8870967741935484,7.096774193548387
inputs/tp_2y.png,2,243,8.024193548387098,0.8870967741935484,7.13709677419355
inputs/tp_2y.png,2,244,8.024193548387098,0.967741935483871,7.056451612903227
inputs/tp_2y.png,2,245,8.10483870967742,0.967741935483871,7.137096774193549
inputs/tp_2y.png,2,246,8.10483870967742,1.0483870967741937,7.056451612903226
inputs/tp_2y.png,2,247,8.10483870967742,1.0483870967741937,7.056451612903226
inputs/tp_2y.png,2,248,8.10483870967742,0.967741935483871,7.137096774193549
inputs/tp_2y.png,2,249,8.10483870967742,0.967741935483871,7.137096774193549
inputs/tp_2y.png,2,250,8.10483870967742,0.967741935483871,7.137096774193549
inputs/tp_2y.png,2,251,8.024193548387098,0.8870967741935484,7.13709677419355
inputs/tp_2y.png,2,252,7.983870967741935,0.8064516129032258,7.177419354838709
inputs/tp_2y.png,2,253,7.943548387096774,0.7258064516129032,7.217741935483871
inputs/tp_2y.png,2,254,7.862903225806452,0.6451612903225806,7.217741935483871
inputs/tp_2y.png,2,255,7.862903225806452,0.6451612903225806,7.217741935483871
inputs/tp_2y.png,2,256,7.862903225806452,0.564516129032258,7.298387096774194
inputs/tp_2y.png,2,257,7.862903225806452,0.4838709677419355,7.379032258064516
inputs/tp_2y.png,2,258,7.862903225806452,0.4838709677419355,7.379032258064516
inputs/tp_2y.png,2,259,7.862903225806452,0.4032258064516129,7.459677419354839
inputs/tp_2y.png,2,260,7.782258064516129,0.4032258064516129,7.379032258064516
inputs/tp_2y.png,2,261,7.782258064516129,0.4032258064516129,7.379032258064516
inputs/tp_2y.png,2,262,7.701612903225806,0.3225806451612903,7.379032258064516
inputs/tp_2y.png,2,263,7.701612903225806,0.3225806451612903,7.379032258064516
inputs/tp_2y.png,2,264,7.701612903225806,0.3225806451612903,7.379032258064516
inputs/tp_2y.png,2,265,7.741935483870968,0.3225806451612903,7.419354838709678
inputs/tp_2y.png,2,266,7.782258064516129,0.3225806451612903,7.459677419354839
inputs/tp_2y.png,2,267,7.701612903225806,0.3225806451612903,7.379032258064516
inputs/tp_2y.png,2,268,7.701612903225806,0.3225806451612903,7.379032258064516
inputs/tp_2y.png,2,269,7.620967741935483,0.4032258064516129,7.21774193548387
inputs/tp_2y.png,2,270,7.580645161290322,0.4032258064516129,7.177419354838709
inputs/tp_2y.png,2,271,7.540322580645162,0.4838709677419355,7.056451612903226
inputs/tp_2y.png,2,272,7.459677419354839,0.4838709677419355,6.975806451612904
inputs/tp_2y.png,2,273,7.419354838709677,0.564516129032258,6.854838709677419
inputs/tp_2y.png,2,274,7.379032258064516,0.564516129032258,6.814516129032258
inputs/tp_2y.png,2,275,7.298387096774193,0.6451612903225806,6.653225806451612
inputs/tp_2y.png,2,276,7.217741935483871,0.6451612903225806,6.57258064516129
inputs/tp_2y.png,2,277,7.17741935483871,0.6451612903225806,6.532258064516129
inputs/tp_2y.png,2,278,7.137096774193548,0.6451612903225806,6.491935483870967
inputs/tp_2y.png,2,279,7.056451612903227,0.564516129032258,6.491935483870969
inputs/tp_2y.png,2,280,7.056451612903227,0.564516129032258,6.491935483870969
inputs/tp_2y.png,2,281,7.056451612903227,0.564516129032258,6.491935483870969
inputs/tp_2y.png,2,282,6.975806451612904,0.564516129032258,6.411290322580646
inputs/tp_2y.png,2,283,6.975806451612904,0.4838709677419355,6.491935483870968
inputs/tp_2y.png,2,284,6.895161290322581,0.4838709677419355,6.411290322580646
inputs/tp_2y.png,2,285,6.814516129032258,0.564516129032258,6.25
inputs/tp_2y.png,2,286,6.733870967741935,0.564516129032258,6.169354838709677
inputs/tp_2y.png,2,287,6.653225806451612,0.564516129032258,6.088709677419354
inputs/tp_2y.png,2,288,6.57258064516129,0.6451612903225806,5.927419354838709
inputs/tp_2y.png,2,289,6.491935483870968,0.6451612903225806,5.846774193548387
inputs/tp_2y.png,2,290,6.411290322580646,0.7258064516129032,5.685483870967743
inputs/tp_2y.png,2,291,6.290322580645161,0.8064516129032258,5.483870967741935
inputs/tp_2y.png,2,292,6.169354838709677,0.8064516129032258,5.362903225806451
inputs/tp_2y.png,2,293,6.088709677419355,0.8870967741935484,5.201612903225807
inputs/tp_2y.png,2,294,6.008064516129032,0.8870967741935484,5.120967741935484
inputs/tp_2y.png,2,295,5.92741935483871,0.967741935483871,4.959677419354839
inputs/tp_2y.png,2,296,5.92741935483871,0.967741935483871,4.959677419354839
inputs/tp_2y.png,2,297,5.846774193548387,0.967741935483871,4.879032258064516
inputs/tp_2y.png,2,298,5.846774193548387,0.8870967741935484,4.959677419354839
inputs/tp_2y.png,2,299,5.806451612903226,0.8870967741935484,4.919354838709678
inputs/tp_2y.png,2,300,5.766129032258065,0.8870967741935484,4.879032258064517
inputs/tp_2y.png,2,301,5.725806451612903,0.8064516129032258,4.919354838709677
inputs/tp_2y.png,2,302,5.685483870967742,0.8064516129032258,4.879032258064516
inputs/tp_2y.png,2,303,5.685483870967742,0.8064516129032258,4.879032258064516
inputs/tp_2y.png,2,304,5.604838709677419,0.8064516129032258,4.798387096774193
inputs/tp_2y.png,2,305,5.604838709677419,0.8064516129032258,4.798387096774193
