month,month_end,ruonia_1m_pct,short_rate_monthly_cc
2010-02,2010-02-28,3.9074094214031327,0.03833002258120615
2010-03,2010-03-31,3.4383245448369197,0.03380535098196655
2010-04,2010-04-30,3.3507041705701344,0.0329579135714346
2010-05,2010-05-31,2.9376014907950334,0.02895280789507435
2010-06,2010-06-30,2.516669675566525,0.024855230348523945
2010-07,2010-07-31,2.4851737292563567,0.02454795558421085
2010-08,2010-08-31,2.6122194502407323,0.02578683761254203
2010-09,2010-09-30,2.5366375270871813,0.025049988012822797
2010-10,2010-10-31,2.5493555014804166,0.0251740137858337
2010-11,2010-11-30,2.782722256918644,0.027447081476635198
2010-12,2010-12-31,2.945943997445123,0.02903384891887129
2011-01,2011-01-31,2.0732976331946107,0.02052097347078101
2011-02,2011-02-28,2.5281054722777108,0.024966774734034837
2011-03,2011-03-31,2.8870123166970516,0.028461232332940435
2011-04,2011-04-30,2.985563509499707,0.029418632316254814
2011-05,2011-05-31,3.503555701284094,0.034435780729005265
2011-06,2011-06-30,3.7317069647002308,0.036637639164269736
2011-07,2011-07-31,3.6676925377248075,0.036020333336366527
2011-08,2011-08-31,3.8982804270041385,0.03824216171068306
2011-09,2011-09-30,3.965697186856171,0.038890824004071296
2011-10,2011-10-31,4.6527052085745,0.045477112627856246
2011-11,2011-11-30,4.939734833882019,0.04821604543177606
2011-12,2011-12-31,5.101105173331761,0.04975260728511956
2012-01,2012-01-31,5.033795995459418,0.04911197900490563
2012-02,2012-02-29,4.627432214846436,0.045235589527173395
2012-03,2012-03-31,4.569315943908385,0.04467997599164157
2012-04,2012-04-30,5.113386367142378,0.049869451692320904
2012-05,2012-05-31,5.495323793061561,0.05349644170929852
2012-06,2012-06-30,5.632875393492835,0.054799456848186205
2012-07,2012-07-31,5.612874179999045,0.05461009243641516
2012-08,2012-08-31,5.4526353862993435,0.05309171243378428
2012-09,2012-09-30,5.150357554887402,0.05022111658172521
2012-10,2012-10-31,5.804221880264846,0.05642023699027959
2012-11,2012-11-30,6.025465906322103,0.058509123669176474
2012-12,2012-12-31,6.17881542382226,0.05995442480290652
2013-01,2013-01-31,5.667565400209847,0.05512780454967111
2013-02,2013-02-28,5.422062958571173,0.052801754196192666
2013-03,2013-03-31,5.91306501478398,0.05744843025408237
2013-04,2013-04-30,5.98622087075199,0.05813890788895279
2013-05,2013-05-31,6.2899407948940045,0.0610004645424165
2013-06,2013-06-30,6.235517746167401,0.06048830896077638
2013-07,2013-07-31,6.102745459102976,0.059237735443181026
2013-08,2013-08-31,6.028526004988969,0.05853798517411204
2013-09,2013-09-30,6.063525786569286,0.05886802848881788
2013-10,2013-10-31,6.067188802220016,0.05890256394643131
2013-11,2013-11-30,6.076418129975221,0.05898957413631629
2013-12,2013-12-31,6.306166671541529,0.061153109639002695
2014-01,2014-01-31,6.276690570580586,0.0608757956398191
2014-02,2014-02-28,5.9891896535074585,0.05816691852234013
2014-03,2014-03-31,6.840762358104268,0.06616933774023158
2014-04,2014-04-30,7.802358791125471,0.07512935342668742
2014-05,2014-05-31,8.061880610123177,0.07753384566453826
2014-06,2014-06-30,8.096831143645256,0.07785722410756364
2014-07,2014-07-31,8.14313991851352,0.07828553322496444
2014-08,2014-08-31,8.006813834280313,0.07702413020412227
2014-09,2014-09-30,7.9363562571719815,0.07637157351915057
2014-10,2014-10-31,7.974337780020029,0.07672339975368891
2014-11,2014-11-30,9.119497615397194,0.08727340413199379
2014-12,2014-12-31,11.886849920073542,0.11231790607097035
2015-01,2015-01-31,17.54655252652019,0.1616642608479738
2015-02,2015-02-28,16.238091019264463,0.15047041038671083
2015-03,2015-03-31,15.111652264188098,0.14073236062083652
2015-04,2015-04-30,14.54962127071534,0.13583791667037654
2015-05,2015-05-31,13.804963869165693,0.1293159539898048
2015-06,2015-06-30,12.82637482947938,0.12067994515464739
2015-07,2015-07-31,11.983455904066416,0.11318095925378291
2015-08,2015-08-31,11.163777434652971,0.10583440026865232
2015-09,2015-09-30,10.993158740273083,0.10429838045434044
2015-10,2015-10-31,11.2168872325321,0.10631204790018853
2015-11,2015-11-30,11.406566054214345,0.10801608100882888
2015-12,2015-12-31,11.429114588137226,0.1082184591372762
2016-01,2016-01-31,10.980007714390652,0.10417988842120089
2016-02,2016-02-29,10.971907164051608,0.1041068946797675
2016-03,2016-03-31,10.934096615257944,0.10376611481337704
2016-04,2016-04-30,10.909026216929213,0.10354009565068771
2016-05,2016-05-31,10.862409183547504,0.10311968953315392
2016-06,2016-06-30,10.996095555202716,0.10432483952722776
2016-07,2016-07-31,10.336514010646967,0.0983647281964063
2016-08,2016-08-31,10.341342308782457,0.09840848698776661
2016-09,2016-09-30,10.334098208792756,0.09834283310280947
2016-10,2016-10-31,10.312706213708104,0.09814893049717087
2016-11,2016-11-30,10.140701855282758,0.09658847021819357
2016-12,2016-12-31,10.151661416669267,0.09668797036638546
2017-01,2017-01-31,10.285233267460855,0.09789985340738575
2017-02,2017-02-28,10.207406475688975,0.0971939178705389
2017-03,2017-03-31,10.0307403673928,0.09558959864863249
2017-04,2017-04-30,9.763867678895611,0.09316121496792171
2017-05,2017-05-31,9.444125847847362,0.09024396680864387
2017-06,2017-06-30,9.159284446340775,0.08763795474024262
2017-07,2017-07-31,9.005724711925295,0.08623021515480266
2017-08,2017-08-31,8.761320269921152,0.08398557299930882
2017-09,2017-09-30,8.517231985501235,0.0817387945247077
2017-10,2017-10-31,8.227865669609058,0.0790686858030618
2017-11,2017-11-30,7.978853255701736,0.07676521877623457
2017-12,2017-12-31,7.998366504917614,0.07694591606727852
2018-01,2018-01-31,7.37696797650239,0.07117552221824197
2018-02,2018-02-28,7.128815269914563,0.06886180541737197
2018-03,2018-03-31,7.212893261537279,0.0696463283784989
2018-04,2018-04-30,7.092202908924961,0.06851998684459759
2018-05,2018-05-31,6.966617044861822,0.06734660955980003
2018-06,2018-06-30,6.972880421696103,0.06740516234608063
2018-07,2018-07-31,7.022441390376182,0.06786835910334167
2018-08,2018-08-31,7.129291259070764,0.06886624855526685
2018-09,2018-09-30,7.075408182894262,0.06836314962743383
2018-10,2018-10-31,7.284022353096296,0.07030954625240096
2018-11,2018-11-30,7.257977745304029,0.07006675362523926
2018-12,2018-12-31,7.360034800878368,0.07101781138647932
2019-01,2019-01-31,7.411298783088488,0.07149519337529711
2019-02,2019-02-28,7.595268726836627,0.07320648983266251
2019-03,2019-03-31,7.562482958766848,0.07290172955266622
2019-04,2019-04-30,7.678431225916854,0.07397911094927284
2019-05,2019-05-31,7.703795657224109,0.07421464042439777
2019-06,2019-06-30,7.652945911567676,0.07374240309176537
2019-07,2019-07-31,7.390528788521265,0.07130180587141259
2019-08,2019-08-31,7.179703189435885,0.06933670880286091
2019-09,2019-09-30,6.998770145893011,0.06764715444414199
2019-10,2019-10-31,6.817435225205036,0.06595097838631235
2019-11,2019-11-30,6.596578486996873,0.0638812284836714
2019-12,2019-12-31,6.360666373118441,0.06166564562771067
2020-01,2020-01-31,6.132872575949439,0.059521637997594336
2020-02,2020-02-29,6.010340802266101,0.05836645810418118
2020-03,2020-03-31,5.877431134872183,0.05711192903333957
2020-04,2020-04-30,5.956425121553964,0.05785773984695901
2020-05,2020-05-31,5.704873951116264,0.055480816999244516
2020-06,2020-06-30,5.271888171791027,0.05137622858043005
2020-07,2020-07-31,4.466225729478649,0.04369363441582867
2020-08,2020-08-31,4.142559070269811,0.04059053481011317
2020-09,2020-09-30,4.145124668790683,0.040615169953919526
2020-10,2020-10-31,4.169005165541184,0.040844443857462234
2020-11,2020-11-30,4.175242191352572,0.04090431616871994
2020-12,2020-12-31,4.083942985881101,0.040027531682670627
2021-01,2021-01-31,4.239784730891915,0.04152368169677954
2021-02,2021-02-28,4.157707245253205,0.04073598037557541
2021-03,2021-03-31,4.0867585069466035,0.04005458180111173
2021-04,2021-04-30,4.3256069521516105,0.04234665837005236
2021-05,2021-05-31,4.600118796225361,0.04497450136125795
2021-06,2021-06-30,4.908294498406895,0.04791639681643844
2021-07,2021-07-31,5.363248165977552,0.052243700185633735
2021-08,2021-08-31,6.122215627455217,0.05942122157324964
2021-09,2021-09-30,6.464322822818585,0.06263974606852969
2021-10,2021-10-31,6.648497313646589,0.0643681689438969
2021-11,2021-11-30,7.117319825030971,0.06875449477777021
2021-12,2021-12-31,7.377082800573335,0.07117659157242207
2022-01,2022-01-31,8.003805713249738,0.0769962786009273
2022-02,2022-02-28,8.471633550123924,0.08131851087618079
2022-03,2022-03-31,15.65138592159021,0.14541018637535771
2022-04,2022-04-30,19.064626565981673,0.17449624009505524
2022-05,2022-05-31,15.619133956692874,0.145131275209997
2022-06,2022-06-30,11.675136394350586,0.11042390260014513
2022-07,2022-07-31,9.205691126027052,0.08806299250340295
2022-08,2022-08-31,8.409507603850159,0.08074560769388983
2022-09,2022-09-30,7.8831152992511715,0.0758781893159841
2022-10,2022-10-31,7.740876112677671,0.07455886296204585
2022-11,2022-11-30,7.597146046843954,0.07322393765961634
2022-12,2022-12-31,7.2992603019766875,0.07045156988739677
2023-01,2023-01-31,7.274008767465554,0.07021620473928475
2023-02,2023-02-28,7.040745434977938,0.06803937444622078
2023-03,2023-03-31,7.381779920886151,0.07122033477588331
2023-04,2023-04-30,7.24479411963985,0.06994383096492902
2023-05,2023-05-31,7.1861213623613605,0.06939658936396073
2023-06,2023-06-30,7.283024081007221,0.07030024126260245
2023-07,2023-07-31,7.453905730449585,0.07189178572272735
2023-08,2023-08-31,8.699874771377129,0.08342045608116065
2023-09,2023-09-30,11.626828883147143,0.10999123724588364
2023-10,2023-10-31,12.620714909339936,0.118855481796744
2023-11,2023-11-30,13.886598741291888,0.1300330194329701
2023-12,2023-12-31,15.064096587447139,0.1403191487368316
2024-01,2024-01-31,15.416821981138431,0.14337992852939568
2024-02,2024-02-29,15.883290252892985,0.14741338013175667
2024-03,2024-03-31,15.7747739443973,0.1464765138343633
2024-04,2024-04-30,15.760868173238213,0.14635639607583056
2024-05,2024-05-31,15.944385050537555,0.14794045093103866
2024-06,2024-06-30,15.964571084669172,0.14811453678368533
2024-07,2024-07-31,15.903655305579461,0.14758910230359695
2024-08,2024-08-31,16.87668385225065,0.15594920880895985
2024-09,2024-09-30,18.321553167703296,0.1682357591682503
2024-10,2024-10-31,18.60589614464118,0.1706360138814694
2024-11,2024-11-30,19.927851659297747,0.18172013980648966
2024-12,2024-12-31,21.10016686865704,0.19144784251102187
2025-01,2025-01-31,20.969980460171644,0.19037223345741988
2025-02,2025-02-28,20.894152058021692,0.18974520038852358
2025-03,2025-03-31,21.321553345068942,0.1932743004518467
2025-04,2025-04-30,21.532088911184303,0.19500814818748302
2025-05,2025-05-31,20.995043249671227,0.19057939389081596
2025-06,2025-06-30,20.743169356818214,0.1884955364709791
2025-07,2025-07-31,19.88359163192979,0.18135101623788036
2025-08,2025-08-31,18.581990832511604,0.1704344410902516
2025-09,2025-09-30,17.685869279307727,0.16284876397051992
2025-10,2025-10-31,16.92203022040473,0.15633711828829605
2025-11,2025-11-30,16.49570683086938,0.15268423510146767
2025-12,2025-12-31,16.321482549267476,0.15118757315320183
2026-01,2026-01-31,15.939547185429442,0.14789872432184964
2026-02,2026-02-28,15.683592658546212,0.14568862880859249
2026-03,2026-03-31,15.275645519630233,0.14215599191229308
2026-04,2026-04-30,15.07473082746505,0.14041156460724277
